fid,id sistema,id ruta,nombre,nombre completo,grupo,modalidad,subsistema,tipo unidad,longitud,zona
"2392","154","27",201M,201 Metrobus,Ruta 201,Complementaria,LRC,Panoramica,36.34,Limite Municipal
"2393","155","28","201",201 Santa Catarina - San Nicolas,Ruta 201,Complementaria,LRC,Panoramica,63.97,Limite Municipal
"2394","167","139","408",408 San Jeronimo - Aud. San Pedro,Martinez Garcia,Metrobus,PTE,Panoramica,16.18,Limite Municipal
"2395","208","125",70T,70 Tolteca,Martinez Garza,Radial,OTE,Panoramica,33.61,Limite Municipal
"2396","220","158","69",69 Centro,Martinez Garcia,Radial,,Panoramica,19.84,Limite Municipal
"2397","154","27",201M,201 Metrobus,Ruta 201,Complementaria,LRC,Panoramica,36.34,Limite Municipal
"2398","155","28","201",201 Santa Catarina - San Nicolas,Ruta 201,Complementaria,LRC,Panoramica,63.97,Limite Municipal
"2399","167","139","408",408 San Jeronimo - Aud. San Pedro,Martinez Garcia,Metrobus,PTE,Panoramica,16.18,Limite Municipal
"2400","207","124",70V,70 Vivienda Popular,Martinez Garza,Radial,OTE,Panoramica,33.61,Limite Municipal
"2401","220","158","69",69 Centro,Martinez Garcia,Radial,,Panoramica,19.84,Limite Municipal
"2402","221","159","4",4 Circunvalacion,Martinez Garcia,Radial,,Panoramica,19.21,Limite Municipal
"2403","159","136","202",202 Santa Catarina - Vivienda Digna,Martinez Garcia,Complementaria,LRC,Panoramica,63.15,Limite Municipal
"2404","161","137","6",6 Larga,Martinez Garcia,Complementaria,LRC,Panoramica,57.04,Limite Municipal
"2405","174","144",308A,308 Chipinque Centro - Alfa,Ctm Feat,Microbus,PTE,Midibus,19.03,Limite Municipal
"2406","175","145",308C,308 Chipinque - Colorines,Ctm Feat,Microbus,PTE,Midibus,22.17,Limite Municipal
"2407","203","39",17PX,17 Pio X,Lazcano,Radial,ZN,Panoramica,24.11,Limite Municipal
"2408","210","138",17A,17 Auditorio,Lazcano,Radial,ZN,Panoramico,32.22,Limite Municipal
"2409","167","139","408",408 San Jeronimo - Aud. San Pedro,Martinez Garcia,Metrobus,PTE,Panoramica,16.18,Limite Municipal
"2410","187","89","204",204 San Bernabe - San Pedro,Ctm - Snat,Periferica,NP,Panoramica,62.4,Limite Municipal
"2411","191","117","214",214 Guadalupe San Pedro,Lazcano,Periferica,OTE,Panoramica,67.31,Limite Municipal
"2412","192","118",214S,214 Guadalupe San Pedro - Sauces,Lazcano,Periferica,OTE,Panoramica,69.82,Limite Municipal
"2413","169","141","401",401 Santa Martha - San Bernabe,Transregio,Metrobus,NP,Panoramica,19.02,Limite Municipal
"2414","185","51",207B,207 Escobedo,Martinez Garcia,Periferica,ZN,Panoramica,39.9,Limite Municipal
"2415","186","88","208",208 Escobeddo San Rafael,Transregio,Periferica,ZN,Panoramica,68.53,Limite Municipal
"2416","187","89","204",204 San Bernabe - San Pedro,Ctm - Snat,Periferica,NP,Panoramica,62.4,Limite Municipal
"2417","189","91","206",206 San Bernabe - Punta De La Loma,Ctm - Feat,Periferica,NP,Panoramica,56.03,Limite Municipal
"2418","181","176",334FV,334 Fidel Velazquez - Casa Blanca,Ctm Feat,Microbus,ZN,Midibus Panoramico,0,Limite Municipal
"2419","218","156","65",65 Lazaro Cardenas,Transregio,Radial,ZN,Panoramica,30.2,Limite Municipal
"2420","224","173",218J,218 Inf La Joya - Pablo Livas,Ctm Feat,Radial,OTE,Panoramica,52.02,Limite Municipal
"2421","225","174",218R,218 Azteca Rosita,Ctm Feat,Radial,OTE,Panoramica,44.3,Limite Municipal
"2422","229","200","46",46 Ladrillera,Urban,Radial,,,0,Limite Municipal
"2423","181","176",334FV,334 Fidel Velazquez - Casa Blanca,Ctm Feat,Microbus,ZN,Midibus Panoramico,0,Limite Municipal
"2424","218","156","65",65 Lazaro Cardenas,Transregio,Radial,ZN,Panoramica,30.2,Limite Municipal
"2425","224","173",218J,218 Inf La Joya - Pablo Livas,Ctm Feat,Radial,OTE,Panoramica,52.02,Limite Municipal
"2426","225","174",218R,218 Azteca Rosita,Ctm Feat,Radial,OTE,Panoramica,44.3,Limite Municipal
"2427","229","200","46",46 Ladrillera,Urban,Radial,,,0,Limite Municipal
"2428","184","50",207A,207 Penitenciaria,Martinez Garcia,Periferica,ZN,Panoramica,41.54,Limite Municipal
"2429","185","51",207B,207 Escobedo,Martinez Garcia,Periferica,ZN,Panoramica,39.9,Limite Municipal
"2430","186","88","208",208 Escobeddo San Rafael,Transregio,Periferica,ZN,Panoramica,68.53,Limite Municipal
"2431","187","89","204",204 San Bernabe - San Pedro,Ctm - Snat,Periferica,NP,Panoramica,62.4,Limite Municipal
"2432","189","91","206",206 San Bernabe - Punta De La Loma,Ctm - Feat,Periferica,NP,Panoramica,56.03,Limite Municipal
"2433","191","117","214",214 Guadalupe San Pedro,Lazcano,Periferica,OTE,Panoramica,67.31,Limite Municipal
"2434","192","118",214S,214 Guadalupe San Pedro - Sauces,Lazcano,Periferica,OTE,Panoramica,69.82,Limite Municipal
"2435","222","162",70C,70 Centro,Martinez Garza,Radial,OTE,Panoramica,27.06,Limite Municipal
"2436","229","200","46",46 Ladrillera,Urban,Radial,,,0,Limite Municipal
"2437","191","117","214",214 Guadalupe San Pedro,Lazcano,Periferica,OTE,Panoramica,67.31,Limite Municipal
"2438","192","118",214S,214 Guadalupe San Pedro - Sauces,Lazcano,Periferica,OTE,Panoramica,69.82,Limite Municipal
"2439","193","171",211SM,211 San Miguel,Ctm Feat,Periferica,NO,Panoramica,52.48,Limite Municipal
"2440","205","41",18I,18 Independencia,Lazcano,Radial,ZN,Panoramica,23.67,Limite Municipal
"2441","217","155","42",42 Realito,Croc,Radial,SUR,Panoramica,30.73,Limite Municipal
"2442","220","158","69",69 Centro,Martinez Garcia,Radial,,Panoramica,19.84,Limite Municipal
"2443","229","200","46",46 Ladrillera,Urban,Radial,,,0,Limite Municipal
"2444","191","117","214",214 Guadalupe San Pedro,Lazcano,Periferica,OTE,Panoramica,67.31,Limite Municipal
"2445","192","118",214S,214 Guadalupe San Pedro - Sauces,Lazcano,Periferica,OTE,Panoramica,69.82,Limite Municipal
"2446","194","172",211Y,211 York,Ctm Feat,Periferica,NO,Panoramica,55.82,Limite Municipal
"2447","217","155","42",42 Realito,Croc,Radial,SUR,Panoramica,30.73,Limite Municipal
"2448","221","159","4",4 Circunvalacion,Martinez Garcia,Radial,,Panoramica,19.21,Limite Municipal
"2449","229","200","46",46 Ladrillera,Urban,Radial,,,0,Limite Municipal
"2450","193","171",211SM,211 San Miguel,Ctm Feat,Periferica,NO,Panoramica,52.48,Limite Municipal
"2451","194","172",211Y,211 York,Ctm Feat,Periferica,NO,Panoramica,55.82,Limite Municipal
"2452","215","153",117G,117 Guerrero,Ctm Feat,Radial,NO,Panoramica,32.82,Limite Municipal
"2453","216","154","86",86 Unidad Laboral,Ctm Feat,Radial,NO,Panoramica,35.43,Limite Municipal
"2454","203","39",17PX,17 Pio X,Lazcano,Radial,ZN,Panoramica,24.11,Limite Municipal
"2455","204","40",17S,17 Santuario,Lazcano,Radial,ZN,Panoramica,19.63,Limite Municipal
"2456","205","41",18I,18 Independencia,Lazcano,Radial,ZN,Panoramica,23.67,Limite Municipal
"2457","210","138",17A,17 Auditorio,Lazcano,Radial,ZN,Panoramico,32.22,Limite Municipal
"2458","203","39",17PX,17 Pio X,Lazcano,Radial,ZN,Panoramica,24.11,Limite Municipal
"2459","204","40",17S,17 Santuario,Lazcano,Radial,ZN,Panoramica,19.63,Limite Municipal
"2460","205","41",18I,18 Independencia,Lazcano,Radial,ZN,Panoramica,23.67,Limite Municipal
"2461","210","138",17A,17 Auditorio,Lazcano,Radial,ZN,Panoramico,32.22,Limite Municipal
"2462","218","156","65",65 Lazaro Cardenas,Transregio,Radial,ZN,Panoramica,30.2,Limite Municipal
"2463","227","185",55TG,55 Topo Grande,Ctm Snat,Radial,ZN,Panoramica,40.38,Limite Municipal
"2464","228","186",55J,55  Joyas - Ayala,Ctm Feat,Radial,ZN,Panoramica,40.24,Limite Municipal
"2465","204","40",17S,17 Santuario,Lazcano,Radial,ZN,Panoramica,19.63,Limite Municipal
"2466","205","41",18I,18 Independencia,Lazcano,Radial,ZN,Panoramica,23.67,Limite Municipal
"2467","210","138",17A,17 Auditorio,Lazcano,Radial,ZN,Panoramico,32.22,Limite Municipal
"2468","218","156","65",65 Lazaro Cardenas,Transregio,Radial,ZN,Panoramica,30.2,Limite Municipal
"2469","227","185",55TG,55 Topo Grande,Ctm Snat,Radial,ZN,Panoramica,40.38,Limite Municipal
"2470","228","186",55J,55  Joyas - Ayala,Ctm Feat,Radial,ZN,Panoramica,40.24,Limite Municipal
"2471","240","262","7",7 Escobedo Centro,Transregio,Radial,ZN,Panoramica,40.84,Limite Municipal
"2472","204","40",17S,17 Santuario,Lazcano,Radial,ZN,Panoramica,19.63,Limite Municipal
"2473","205","41",18I,18 Independencia,Lazcano,Radial,ZN,Panoramica,23.67,Limite Municipal
"2474","217","155","42",42 Realito,Croc,Radial,SUR,Panoramica,30.73,Limite Municipal
"2475","219","157","67",67 Independencia,Lazcano,Radial,SUR,Panoramica,16.84,Limite Municipal
"2476","229","200","46",46 Ladrillera,Urban,Radial,,,0,Limite Municipal
"2477","234","232","50",50 Mas Palomas,Ctm Feat,Radial,SUR,Panoramica,18.79,Limite Municipal
"2478","235","233",113C,113 Canteras,Ctm Snat,Radial,SUR,Panoramica,35.2,Limite Municipal
"2479","207","124",70V,70 Vivienda Popular,Martinez Garza,Radial,OTE,Panoramica,33.61,Limite Municipal
"2480","212","147",73V,73 Tierra Propia - 20 De Nov.,Ctm Gpe.,Radial,OTE,Panoramica,46.44,Limite Municipal
